商品名稱,價格,可販售數量,最後更新日期,購買人數,最後銷售數量,最後銷售時間
萬隆達* 遊戲王 RC04-JP053 名推理 (斜鑽) 損卡/微壓傷,49,1,,0,,
萬隆達*遊戲王 TDS1-JP039 拮抗勝負 (金亮.鋼印) 搜:SD39-JP039 RC04-JP075,149,3,2024-04-06 19:46:31,1,3,2024-03-28 09:29:30
萬隆達*遊戲王 TDS1-JP038 次元障壁 (金亮.鋼印) 搜:SD39-JP038 RC04-JP07,59111,1,2024-04-13 11:00:36,1,3,2024-04-13 07:54:07
萬隆達* 遊戲王 亞英 RC04-AE075 拮抗勝負 (亮面) 搜:CIBR-JP077,69,3,2024-04-03 12:03:51,5,2,2024-05-02 22:52:27
萬隆達*遊戲王 TDS1-JP013 妖精傳姬-竹取公主 (金亮.鋼印) 搜:SD39-JP013 RC04-JP010,19,2,2024-04-03 11:07:23,0,,
萬隆達* 遊戲王 亞英 RC04-AE008 太陽神翼神龍之球體形 (半鑽) 損/微刮傷,69,1,2024-04-06 18:53:43,0,,
萬隆達* 遊戲王 亞英 RC04-AE020 黃金卿 黃金國巫妖 (異圖.浮雕) 初期傷*微白邊搜:DBSS-JP027,149,1,2024-04-03 11:15:06,0,,
萬隆達* 遊戲王 RC04-JP037 鬼計惰天使 (半鑽) /損/邊損,9,1,,0,,
萬隆達*遊戲王 RC04-JP070 強制脫出裝置 (半鑽) 損卡 折角,8,3,,0,,
萬隆達*遊戲王 RC04-JP027 舊神 努茨 (雕鑽) 損卡 折角,59,1,,0,,
萬隆達* 遊戲王 亞英 RC04-AE002 孤燃花 (半鑽)/損/邊損/白邊,25,1,,0,,
萬隆達* 遊戲王 RC04-JP068 小小世界 微小世界 (金亮)/損/白邊/角損,59,1,,0,,
萬隆達* 遊戲王 亞英 RC04-AE068 微小世界 (雕鑽) 初期傷*微白邊,79,1,2024-04-03 11:09:56,0,,
萬隆達* 遊戲王 亞英 RC04-AE072 冰結界 (亮面) 搜:AC01-JP013,9,3,2024-01-21 20:26:02,2,1,2024-05-01 01:37:22
萬隆達*遊戲王 RC04-JP004 V・HERO獨善人 (半鑽) /損/背污,19,1,,0,,
萬隆達* 遊戲王 亞英 RC04-AE035 鮮花女爵 (25th金鑽) 搜:DP25-JP023,1299,1,,0,,
萬隆達* 遊戲王 亞英 RC04-AE080 鐵獸的抗戰 (亮面) 搜:PHRA-JP070,9,3,2024-01-21 20:38:10,0,,
萬隆達* 遊戲王 亞英 RC04-AE032 虹光之宣告者 (亮面) /損/邊損,5,1,,0,,
萬隆達*遊戲王 RC04-JP027 舊神 努茨 (浮雕/凸版) 損卡/白角,59,1,,1,1,2024-04-21 21:59:41
萬隆達* 遊戲王 亞英 RC04-AE067 金滿的謙虛之壺 (斜鑽) 搜:BLVO-JP065,189,1,,0,,
萬隆達* 遊戲王 亞英 RC04-AE060 強欲而金滿之壺 (斜鑽) 搜:SAST-JP067,299,1,,0,,
萬隆達*遊戲王 RC04-JP044 夢幻界 獨角獸 (雕鑽) 損卡 折角,129,1,,0,,
萬隆達* 遊戲王 亞英 RC04-AE058 墓穴的指名者 (斜鑽) 初期傷*微白邊 搜: SD43-JP029,239,1,,0,,
萬隆達* 遊戲王 亞英 RC04-AE071 召喚限制器 (亮面) 搜:DS13-JPD38,15,3,2024-04-12 19:48:08,8,1,2024-05-02 15:28:39
萬隆達* 遊戲王 亞英 RC04-AE073 次元障壁 (亮面) 搜: SD43-JP039,29,3,2024-01-21 20:19:05,5,1,2024-05-01 15:39:04
萬隆達* 遊戲王 亞英 RC04-AE020 黃金卿 黃金國巫妖 (異圖.雕鑽) 初期傷*微白邊搜:DBSS-JP027,249,1,,1,1,2024-02-12 02:33:01
萬隆達*遊戲王 RC04-JP071 召喚限制器 (半鑽) 損卡 折角,25,2,,0,,
