商品名稱,價格,可販售數量,最後更新日期,購買人數,最後銷售數量,最後銷售時間
【Lizz小舖】 孢光德魯伊 Pollenbright Druid 火花之戰 WAR C 173 魔風 MTG,5,15,,1,,近半年無銷售記錄
【Lizz小舖】 震懼軍先鋒 Herald of the Dreadhorde WAR 火花之戰 MTG,5,6,,1,,近半年無銷售記錄
【Lizz小舖】 拉佐特裂肢獸 Lazotep Reaver 火花之戰 WAR C 96 魔風 MTG,5,4,2020-08-25 20:47:55,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 統領震懼軍 Command the Dreadhorde,20,7,2022-05-31 22:07:59,5,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 背叛的代價 Price of Betrayal,5,8,2019-11-05 15:03:15,2,,近半年無銷售記錄
【Lizz小舖】 爭議計劃 Contentious Plan 火花之戰 WAR C 046 魔風 MTG,5,16,2023-09-17 17:18:27,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 拘禁地境 Prison Realm,10,8,2021-11-15 17:39:39,14,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 烏金的變幻僧 Ugin's Conjurant,5,16,2022-09-03 14:19:42,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 符文牆 Wall of Runes,5,8,2019-12-03 23:35:11,1,,近半年無銷售記錄
【Lizz小舖】 樹棲食草獸 Arboreal Grazer 火花之戰 WAR C 149 魔風 MTG,10,16,2023-06-30 15:37:50,17,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 莉蓮娜得勝 Liliana's Triumph,10,16,2022-05-31 22:31:40,7,,近半年無銷售記錄
【Lizz小舖】 灼熱先知 Burning Prophet 火花之戰 WAR C 117 魔風 MTG,5,8,,0,,
【Lizz小舖】MTG 火花之戰 WAR 維圖加基醒轉 Awakening of Vitu-Ghazi,10,12,2022-05-31 22:12:11,3,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 恐怖斑貓 Dreadmalkin,5,4,,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 瓦礫區喧鬧人 Rubblebelt Rioters,5,8,2020-03-17 19:33:15,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 滅除火花 Despark,10,23,2024-04-17 20:15:50,7,3,2024-04-14 22:50:34
【Lizz小舖】MTG 火花之戰 WAR 普世歡騰 Planewide Celebration,40,12,2023-05-03 18:30:14,9,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 休論烏金 Ugin, the Ineffable",95,12,2022-11-17 23:48:10,25,,近半年無銷售記錄
